계정,연도,상품번호,판매자코드,ROAS%,광고비,광고전환매출,클릭
rejoice666,2025,4306169789,W4CE86E,1853,1760,32620,4
rejoice666,2025,4306170314,W8BD985,334,7205,24080,19
rejoice666,2025,4306172562,,10826,385,41680,1
rejoice666,2025,4306173388,W6A5783,11571,385,44550,1
rejoice666,2025,4306174743,,618,4774,29510,12
rejoice666,2025,4347995617,WA5D64C,962,7876,75760,21
rejoice666,2025,4348004556,,4191,968,40570,4
rejoice666,2025,4348005140,WE7D14F,401,21560,86480,71
rejoice666,2025,4348008991,,1290,2728,35200,10
rejoice666,2025,4361880905,W91E527,631,5379,33950,11
rejoice666,2025,4361880975,WD4762C,1271,13222,168000,17
rejoice666,2025,4365512439,W486E4E,1676,3817,63980,10
rejoice666,2025,4365515268,W48DDB1,1674,5148,86160,13
rejoice666,2025,4365516782,WA55461,7532,770,58000,1
rejoice666,2025,4365517039,W9560ED,8335,770,64180,1
rejoice666,2025,4365518760,W864DE4,1256,2354,29570,3
rejoice666,2025,4365520549,,3781,2288,86500,5
rejoice666,2025,4365522176,,1190,3542,42140,11
rejoice666,2025,4365523207,W04C1CC,615,9427,57980,17
rejoice666,2025,4365526589,W5D3056,1008,5148,51870,8
rejoice666,2025,4365533291,W97682C,20644,869,179400,2
rejoice666,2025,4365537143,,9700,957,92830,2
rejoice666,2025,4365541001,,3874,891,34520,3
rejoice666,2025,4365541354,W164BDE,3404,1254,42690,2
rejoice666,2025,4365543934,W96DB0E,1795,4279,76790,10
rejoice666,2025,4365544485,,2320,7205,167160,20
rejoice666,2025,4365550202,WB669F3,6281,1155,72550,2
rejoice666,2025,4365555523,,285,13761,39220,37
rejoice666,2025,4367072956,,1059,7172,75940,19
rejoice666,2025,4369061117,WF73A22,850,5786,49190,16
rejoice666,2025,4369063461,W2619C6,2393,1694,40540,3
rejoice666,2025,4369064137,W9B10C6,6444,363,23390,1
rejoice666,2025,4369066409,,321,7348,23570,22
rejoice666,2025,4369067077,WC600FF,13965,539,75270,2
rejoice666,2025,4369070636,WF1B18A,2552,2420,61760,6
rejoice666,2025,4369072120,WD57149,658,4323,28450,11
rejoice666,2025,4369072422,W0E9210,1432,1782,25520,4
rejoice666,2025,4369076821,WB1B6EE,3183,2750,87520,7
rejoice666,2025,4369077954,WB1B6E1,2704,1210,32720,3
rejoice666,2025,4369078281,WC66420,2052,4510,92560,12
rejoice666,2025,4369078316,WB165CA,361,14861,53600,26
rejoice666,2025,4369078367,WB165BF,1286,4510,58020,11
rejoice666,2025,4369078438,WC6641E,1082,7535,81510,19
rejoice666,2025,4369078464,WEFE6C0,2056,4598,94540,12
rejoice666,2025,4369079183,,13989,4279,598610,12
rejoice666,2025,4369079978,,1180,3069,36200,7
rejoice666,2025,4369086919,WA3A5FD,1743,1870,32600,4
rejoice666,2025,4369152170,WFFSSRM,25342,1683,426510,4
rejoice666,2025,4369152536,WDE0374,581,6501,37740,16
rejoice666,2025,4369153217,WF1DE32,10613,385,40860,1
rejoice666,2025,4405459651,,1190,4455,53000,21
rejoice666,2025,4405459960,WBCFDAA,863,4774,41220,14
rejoice666,2025,4405460129,WB075AE,54688,352,192500,3
rejoice666,2025,4405460270,WA7076A,1236,3124,38620,8
rejoice666,2025,4405460369,W9FAC93,5396,1749,94380,5
rejoice666,2025,4405460391,W9C76F3,928,4169,38680,10
rejoice666,2025,4405460457,W9B8DE9,13023,440,57300,1
rejoice666,2025,4405460539,W8E38A4,9553,385,36780,1
rejoice666,2025,4405460559,W96AD9B,4910,1606,78860,4
rejoice666,2025,4405461067,W261635,748,9471,70800,30
rejoice666,2025,4405461224,W0CFE82,1788,2068,36970,5
rejoice666,2025,4405492070,WDA4FE7,1793,4026,72170,12
rejoice666,2025,4405492316,WFFKOAS,607,3355,20380,9
rejoice666,2025,4405492549,WE3348E,1542,2387,36810,8
rejoice666,2025,4405492551,W520882,25574,385,98460,1
rejoice666,2025,4405492696,W49C0C0,5678,363,20610,1
rejoice666,2025,4405492756,W89F503,2597,1232,32000,3
rejoice666,2025,4405492889,WA8BF19,4495,1320,59340,3
rejoice666,2025,4405492956,WFFKBTS,2726,1243,33880,3
rejoice666,2025,4405493168,WEB2D1D,2957,2750,81330,6
rejoice666,2025,4405493209,WC724BD,1424,10076,143460,25
rejoice666,2025,4405493221,WFGUXSO,7795,385,30010,1
rejoice666,2025,4405493344,WFFTKT6,10124,1683,170390,5
rejoice666,2025,4405493451,WCEDD91,1580,3025,47800,7
rejoice666,2025,4405493593,WF52B0E,2280,781,17810,3
rejoice666,2025,4405493759,WACC476,1036,2057,21310,5
rejoice666,2025,4405494065,WFGF6F3,408,7205,29390,19
rejoice666,2025,4405494176,WF9A276,1722,1144,19700,3
rejoice666,2025,4405494222,WFHIIL5,5944,2629,156280,8
rejoice666,2025,4405494476,WB9F002,2932,1199,35160,4
rejoice666,2025,4405494515,WBA75CE,4078,1276,52040,4
rejoice666,2025,4405494561,WFGQJYI,38756,1661,643740,4
rejoice666,2025,4405494621,W7D9E98,7610,9130,694800,15
rejoice666,2025,4405494757,WE8CC84,2040,1056,21540,3
rejoice666,2025,4405494876,W9C9E35,239,13178,31540,32
rejoice666,2025,4405494898,W2D5068,4404,770,33910,3
rejoice666,2025,4405495165,WB850DB,1364,4477,61050,12
rejoice666,2025,4405495211,WC00CD4,1453,17116,248760,31
rejoice666,2025,4405495229,WF3782B,2600,1397,36320,5
rejoice666,2025,4405495293,WFH32CJ,6657,440,29290,1
rejoice666,2025,4405495635,WA8628A,2801,4719,132190,11
rejoice666,2025,4405495655,WF3B1F1,2829,825,23340,3
rejoice666,2025,4405495980,WDA46B0,1424,1859,26480,5
rejoice666,2025,4405496263,WB3DBEC,1122,5599,62820,15
rejoice666,2025,4405496681,WBB6E80,1593,2200,35040,5
rejoice666,2025,4463450629,WFFXTNG,1510,825,12460,2
rejoice666,2025,4463450663,W1A2A41,636,5995,38100,15
rejoice666,2025,4463451602,WAA846E,805,1881,15150,4
rejoice666,2025,4463452649,W1ACB26,657,2343,15390,3
rejoice666,2025,4463453564,WA06198,6775,462,31300,1
rejoice666,2025,4463453687,WA07044,680,2310,15700,7
rejoice666,2025,4463453820,WDC7F62,1776,1771,31460,4
rejoice666,2025,4463454161,W9D13A3,3007,4708,141570,11
rejoice666,2025,4463454362,W6DB967,1029,1529,15730,4
rejoice666,2025,4463455694,W75D5ED,1169,1375,16070,3
rejoice666,2025,4463455998,,1284,2585,33180,6
rejoice666,2025,4463464705,WE161FA,2272,9152,207960,18
rejoice666,2025,4489947894,WD30281,10780,1320,142300,3
rejoice666,2025,4489948165,WFB3F88,1803,1342,24200,3
rejoice666,2025,4489948363,WFHL500,271,6017,16320,16
rejoice666,2025,4525972907,WD1C5DE,3813,539,20550,2
rejoice666,2025,4596180187,W80D011,16536,418,69120,1
rejoice666,2025,4596188973,WD97BB2,403,4730,19080,11
rejoice666,2025,4596199678,WB2EAEF,2784,4334,120680,9
rejoice666,2025,4596201718,WD3385F,12380,418,51750,1
rejoice666,2025,4596201993,WD4F74E,11830,418,49450,1
rejoice666,2025,4596205584,W8FF525,1188,4620,54900,3
rejoice666,2025,4611985194,알맹이젤리,294,9867,29000,10
rejoice666,2025,4612379503,웰치스젤리,1330,31581,420000,43
rejoice666,2025,4612399013,WFFVDIB,11634,781,90860,2
rejoice666,2026,2645095108,W3D0972,2851,1584,45160,2
rejoice666,2026,2645115755,W9E9E52,1323,15444,204280,15
rejoice666,2026,2711809639,W8FF52F,17790,913,162420,1
rejoice666,2026,2771572732,W57CF30,3767,5071,191040,11
rejoice666,2026,2771573008,W526B77,1605,28215,452880,28
rejoice666,2026,2771586131,W3D3C75,5447,4631,252240,6
rejoice666,2026,2771596664,W4A8B5C,923,5632,52000,6
rejoice666,2026,2773082607,W5CB5F3,5267,2508,132100,7
rejoice666,2026,2773087856,W3C1E78,787,16016,126120,16
rejoice666,2026,2786152076,W90A9B9,6580,2519,165740,4
rejoice666,2026,2786172575,W8CFA9E,2347,2255,52920,4
rejoice666,2026,2786185518,W6058B9,416,14069,58470,17
rejoice666,2026,2786187058,W15A393,4612,990,45660,2
rejoice666,2026,2929048408,W485172,2997,1815,54390,3
rejoice666,2026,2999962275,W8FF514,620,8833,54800,7
rejoice666,2026,3281662571,WAE19D5,5140,2266,116480,5
rejoice666,2026,3348118815,W40C208,1128,2651,29910,6
rejoice666,2026,3591331604,WAD1B9E,2338,1661,38830,4
rejoice666,2026,4060227180,W6B2B44,2626,1045,27440,2
rejoice666,2026,4060279578,W92F47C,786,3608,28360,5
rejoice666,2026,4060283129,WA496D4,16369,385,63020,1
rejoice666,2026,4060390808,W4B9B35,705,3586,25270,7
rejoice666,2026,4139606050,W758BA2,1254,5522,69260,13
rejoice666,2026,4139610065,W81C547,1047,3003,31450,7
rejoice666,2026,4139616646,WA15277,4315,1716,74040,3
