상품번호,계정,판매자코드,상품명,광고비,광고전환ROAS%,실매출,실ROAS%,클릭
4146276166,rejoice234,LCE_SX_L2085472_00,LG 뉴 퐁퐁 주방세제 2kgX6개 용기 BOX/욕,638,50087.8,285860,44805.6,1
4668618406,rejoice666,3930839,위즈웰 그라인더 앤 드립커피 메이커 원두 자동그라인,286,0.0,285850,99947.6,1
4193202955,rejoice794,LCE_SX_L2934664_00,에듀쉐이프 소프트 빅블럭 26P (806026)이미,638,51503.1,285493,44748.1,1
4365551248,rejoice987,WC7E1B0,유한락스(레귤러 식품용 15K) 세제 주방세제 락스,0,0,279633,0,0
3868597497,dlwodbs666,WA0EE4E,알루미늄 은박 쿠킹 호일 33CM X 30HO 10,440,0.0,278987,63406.1,1
4365545257,rejoice666,WA0EE4E,신광 알루미늄 은박 쿠킹 호일 33CM X 30HO,0,0,278987,0,0
4146321637,rejoice234,LCE_SX_L6554700_00,안전장비 미니사이즈 신호봉 다기능 신호봉 안전봉/견,1287,25058.3,277279,21544.6,2
3377119975,rejoice222,WA4D4B1,필립스 9352 풀스텐 메탈 바디 무선 전기 주전자,1144,0.0,277264,24236.4,3
3877454816,dlwodbs666,WA4D4B1,필립스9352 풀스텐 메탈바디 무선 전기주전자 1.,2772,5430.4,277264,10002.3,5
4164979347,rejoice999,WA4D4B1,필립스9352 풀스텐 메탈바디 무선 전기주전자 1.,1628,0.0,277264,17031.0,3
4357152279,dlwodb888,WA4D4B1,필립스9352 풀스텐 메탈바디 무선 전기주전자 1.,913,0.0,277264,30368.5,2
4365564028,dlwodbs666,WA4D4B1,9352 풀스텐 메탈바디 무선 전기주전자 1.7L ,319,0.0,277264,86916.6,1
4369806470,dlwodbs222,WA4D4B1,필립스9352 풀스텐 메탈바디 무선 전기주전자 1.,440,0.0,277264,63014.5,1
4369938540,rejoice567,WA4D4B1,필립스9352 풀스텐 메탈바디 무선 전기주전자 1.,440,0.0,277264,63014.5,1
4376382285,dlwodb888,WA4D4B1,필립스9352 풀스텐 메탈바디 무선 전기주전자 전기,451,0.0,277264,61477.6,1
4612434777,rejoice999,WE9F2EA,북트롤리 북카트 이동식 5단 책꽂이,0,0,274423,0,0
4059351341,rejoice999,W19C23D,KING 도어체크NSK 630 문속도조절 문닫힘조절,1408,22152.0,274350,19485.1,2
4245233156,rejoice987,W19C23D,KING 도어체크NSK 630 문속도조절 문닫힘조절,0,0,274350,0,0
4142476513,rejoice567,WC7244E,JSP-20M 스피콘+스피콘 스피커 케이블 20M,473,0.0,271240,57344.6,1
3868205875,rejoice666,WB93CD8,화장실세정제 화청 1리터 12개입 소변기탈취제,0,0,264071,0,0
4059877210,tmxkqlwus,WB93CD8,화장실세정제 화청 1리터 12개입 소변기탈취제,2607,4043.7,264071,10129.3,3
4164966433,rejoice999,WB93CD8,화장실세정제 화청 1리터 12개입 소변기탈취제,0,0,264071,0,0
